"","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Assembly"
"1","DAZZ01000028.1_22","-","NOG.COG0094.clustalo_raw","-",1.3e-56,189.6,0.1,1.5e-56,189.4,0.1,1,1,0,0,1,1,1,1,"DAZZ"
"15","DBBB01000076.1_28","-","NOG.COG0094.clustalo_raw","-",2.2e-53,178.5,0,2.5e-53,178.3,0,1,1,0,0,1,1,1,1,"DBBB"
"29","DBBC01000006.1_14","-","NOG.COG0094.clustalo_raw","-",1.1e-55,185.9,0.1,1.2e-55,185.8,0.1,1,1,0,0,1,1,1,1,"DBBC"
"43","DBBD01000128.1_22","-","NOG.COG0094.clustalo_raw","-",4.7e-51,170.9,0,5e-51,170.8,0,1,1,0,0,1,1,1,1,"DBBD"
"57","DBCA01000119.1_22","-","NOG.COG0094.clustalo_raw","-",7.2e-53,176.1,0.7,7.6e-53,176.1,0.7,1,1,0,0,1,1,1,1,"DBCA"
"71","DBCY01000165.1_36","-","NOG.COG0094.clustalo_raw","-",1.2e-52,176.7,0.1,1.4e-52,176.5,0.1,1,1,0,0,1,1,1,1,"DBCY"
"129","DBDL01000195.1_5","-","NOG.COG0094.clustalo_raw","-",2.3e-59,198.8,1,2.6e-59,198.7,1,1,1,0,0,1,1,1,1,"DBDL"
"155","DBEH01000010.1_18","-","NOG.COG0094.clustalo_raw","-",2.8e-52,174.7,0.1,3e-52,174.6,0.1,1,1,0,0,1,1,1,1,"DBEH"
"169","DBEP01000052.1_27","-","NOG.COG0094.clustalo_raw","-",3.9e-58,195.8,0.4,4.4e-58,195.6,0.4,1,1,0,0,1,1,1,1,"DBEP"
"183","DBFV01000003.1_14","-","NOG.COG0094.clustalo_raw","-",6.7e-57,191.2,0.5,7.3e-57,191.1,0.5,1,1,0,0,1,1,1,1,"DBFV"
"212","DBGC01000024.1_74","-","NOG.COG0094.clustalo_raw","-",4.6e-57,191.9,0.4,5e-57,191.8,0.4,1,1,0,0,1,1,1,1,"DBGC"
"226","DBIE01000124.1_29","-","NOG.COG0094.clustalo_raw","-",1.7e-55,186.1,0.3,1.9e-55,186,0.3,1,1,0,0,1,1,1,1,"DBIE"
"240","DBIU01000092.1_20","-","NOG.COG0094.clustalo_raw","-",1.9e-51,172.2,0.2,2e-51,172.1,0.2,1,1,0,0,1,1,1,1,"DBIU"
"264","DBJE01000013.1_316","-","NOG.COG0094.clustalo_raw","-",3.4e-41,137.8,1.4,3.9e-41,137.6,1.4,1,1,0,0,1,1,1,1,"DBJE"
"278","DBJF01000009.1_103","-","NOG.COG0094.clustalo_raw","-",3.3e-41,137.8,1.4,3.8e-41,137.6,1.4,1,1,0,0,1,1,1,1,"DBJF"
