"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"1","AP009389.1","lcl|AP009389.1_prot_BAF58513.1_332","-","NOG.COG0094.clustalo_raw","-",1.1e-56,190.2,0.3,1.2e-56,190,0.3,1,1,0,0,1,1,1,1,"Pelotomaculum thermopropionicum SI DNA, complete genome","Pelotomaculum thermopropionicum SI","Pelotomaculum thermopropionicum ","Y","69","Pelotomaculum","thermopropionicum","GCA_000010565.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"18","CP000407.1","lcl|CP000407.1_prot_ABP89055.1_81","-","NOG.COG0094.clustalo_raw","-",9.5e-54,180.1,0,1e-53,179.9,0,1,1,0,0,1,1,1,1,"Streptococcus suis 05ZYH33, complete genome","Streptococcus suis 05ZYH33","Streptococcus suis ","N","15","Streptococcus","suis","GCA_000014305.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"29","CP000817.1","lcl|CP000817.1_prot_ACA42046.1_4400","-","NOG.COG0094.clustalo_raw","-",6.9e-57,191.6,0.3,7.5e-57,191.4,0.3,1,1,0,0,1,1,1,1,"Lysinibacillus sphaericus C3-41, complete genome","Lysinibacillus sphaericus C3-41","Lysinibacillus sphaericus ","Y","69","Lysinibacillus","sphaericus","GCA_000017965.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"58","CP002770.1","lcl|CP002770.1_prot_AEG16541.1_2891","-","NOG.COG0094.clustalo_raw","-",7e-57,191.1,0.2,7.5e-57,191,0.2,1,1,0,0,1,1,1,1,"Desulfotomaculum kuznetsovii DSM 6115, complete genome","Desulfofundulus kuznetsovii DSM 6115","Desulfotomaculum kuznetsovii ","Y","70","Desulfofundulus","kuznetsovii","GCA_000214705.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"71","CP002901.1","lcl|CP002901.1_prot_AEJ38537.1_309","-","NOG.COG0094.clustalo_raw","-",7.8e-44,148.1,0,8.6e-44,147.9,0,1,1,0,0,1,1,1,1,"Sulfobacillus acidophilus TPY, complete genome","Sulfobacillus acidophilus TPY","Sulfobacillus acidophilus ","Y","57","Sulfobacillus","acidophilus","GCA_000219855.1","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis"
"76","CP003184.1","lcl|CP003184.1_prot_AFK86039.1_1001","-","NOG.COG0094.clustalo_raw","-",5.4e-57,191.2,0.1,6.2e-57,191,0.1,1,1,0,0,1,1,1,1,"Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete genome","Thermoanaerobacterium saccharolyticum JW/SL-YS485","Thermoanaerobacterium saccharolyticum ","Y","62","Thermoanaerobacterium","saccharolyticum","GCA_000307585.2","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis"
"90","CP003919.2","lcl|CP003919.2_prot_AFV71562.1_210","-","NOG.COG0094.clustalo_raw","-",1.2e-53,179.4,0,1.3e-53,179.3,0,1,1,0,0,1,1,1,1,"Streptococcus agalactiae strain SA20, complete genome","Streptococcus agalactiae","Streptococcus agalactiae ","N","14","Streptococcus","agalactiae","GCA_000302475.3","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"101","CP005941.1","lcl|CP005941.1_prot_AGM97898.1_69","-","NOG.COG0094.clustalo_raw","-",5.6e-53,177.5,0,6.1e-53,177.4,0,1,1,0,0,1,1,1,1,"Streptococcus iniae SF1, complete genome","Streptococcus iniae SF1","Streptococcus iniae ","N","13","Streptococcus","iniae","GCA_000403625.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"115","FN545816.1","lcl|FN545816.1_prot_CBE01600.1_81","-","NOG.COG0094.clustalo_raw","-",9.6e-54,180.7,0.2,1e-53,180.6,0.2,1,1,0,0,1,1,1,1,"Clostridium difficile R20291 complete genome","Clostridioides difficile R20291","Peptoclostridium difficile ","Y","56","Clostridioides","difficile","GCA_000027105.1","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"174","FP929045.1","lcl|FP929045.1_prot_CBK98971.1_1244","-","NOG.COG0094.clustalo_raw","-",5.2e-52,174.7,0.2,5.6e-52,174.5,0.2,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii L2/6 draft genome","Faecalibacterium prausnitzii L2-6","Faecalibacterium prausnitzii L2-6","N","35","Faecalibacterium","prausnitzii","GCA_000210735.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"188","FP929046.1","lcl|FP929046.1_prot_CBL01481.1_998","-","NOG.COG0094.clustalo_raw","-",2.8e-52,175.5,0.2,3.1e-52,175.4,0.2,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii SL3/3 draft genome","Faecalibacterium prausnitzii SL3/3","Faecalibacterium prausnitzii SL3/3","N","35","Faecalibacterium","prausnitzii","GCA_000209855.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"271","NC_002570.2","lcl|NC_002570.2_prot_WP_010896329.1_148","-","NOG.COG0094.clustalo_raw","-",2.5e-57,192.8,0.5,2.7e-57,192.7,0.5,1,1,0,0,1,1,1,1,"Bacillus halodurans C-125 DNA, complete genome","Bacillus halodurans C-125","Bacillus halodurans ","Y","100","Bacillus","halodurans","GCF_000011145.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"286","NC_002737.2","lcl|NC_002737.2_prot_NP_268472.1_49","-","NOG.COG0094.clustalo_raw","-",9.3e-53,176.4,0,1e-52,176.3,0,1,1,0,0,1,1,1,1,"Streptococcus pyogenes M1 GAS, complete genome","Streptococcus pyogenes M1 GAS","Streptococcus pyogenes ","N","12","Streptococcus","pyogenes","GCF_000006785.2","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"297","NC_003869.1","lcl|NC_003869.1_prot_WP_011026326.1_2157","-","NOG.COG0094.clustalo_raw","-",1.4e-57,193,0.3,1.5e-57,192.9,0.3,1,1,0,0,1,1,1,1,"Thermoanaerobacter tengcongensis MB4, complete genome","Thermoanaerobacter tengcongensis MB4","Thermoanaerobacter tengcongensis ","Y","63","Thermoanaerobacter","tengcongensis","GCF_000007085.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"311","NC_004193.1","lcl|NC_004193.1_prot_WP_011064534.1_132","-","NOG.COG0094.clustalo_raw","-",2.4e-56,189.3,0.4,2.8e-56,189.1,0.4,1,1,0,0,1,1,1,1,"Oceanobacillus iheyensis HTE831 DNA, complete genome","Oceanobacillus iheyensis HTE831","Oceanobacillus iheyensis ","Y","88","Oceanobacillus","iheyensis","GCF_000011245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"326","NC_004461.1","lcl|NC_004461.1_prot_NP_765366.1_1811","-","NOG.COG0094.clustalo_raw","-",3.5e-57,191.6,0.5,3.9e-57,191.4,0.5,1,1,0,0,1,1,1,1,"Staphylococcus epidermidis ATCC 12228 chromosome, complete genome","Staphylococcus epidermidis ATCC 12228","Staphylococcus epidermidis ","N","14","Staphylococcus","epidermidis","GCF_000007645.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"342","NC_006177.1","lcl|NC_006177.1_prot_WP_011197178.1_2950","-","NOG.COG0094.clustalo_raw","-",5.8e-57,191.2,0,6.8e-57,191,0,1,1,0,0,1,1,1,1,"Symbiobacterium thermophilum IAM 14863 DNA, complete genome","Symbiobacterium thermophilum IAM 14863","Symbiobacterium thermophilum ","Y","64","Symbiobacterium","thermophilum","GCF_000009905.1","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae"
"356","NC_006582.1","lcl|NC_006582.1_prot_WP_011245026.1_163","-","NOG.COG0094.clustalo_raw","-",1.7e-56,190.1,0.4,1.9e-56,189.9,0.4,1,1,0,0,1,1,1,1,"Bacillus clausii KSM-K16 DNA, complete genome","Bacillus clausii KSM-K16","Bacillus clausii ","Y","92","Bacillus","clausii","GCF_000009825.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"370","NC_007168.1","lcl|NC_007168.1_prot_WP_011275133.1_768","-","NOG.COG0094.clustalo_raw","-",6.3e-58,194.1,0.4,7.3e-58,193.9,0.4,1,1,0,0,1,1,1,1,"Staphylococcus haemolyticus JCSC1435 DNA, complete genome","Staphylococcus haemolyticus JCSC1435 DNA","Staphylococcus haemolyticus ","N","15","Staphylococcus","haemolyticus","GCF_000009865.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"388","NC_007350.1","lcl|NC_007350.1_prot_WP_002482624.1_651","-","NOG.COG0094.clustalo_raw","-",4.4e-56,187.9,0.2,5.1e-56,187.7,0.2,1,1,0,0,1,1,1,1,"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete genome","Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305","Staphylococcus saprophyticus ","N","16","Staphylococcus","saprophyticus","GCF_000010125.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"403","NC_007503.1","lcl|NC_007503.1_prot_WP_011345179.1_2093","-","NOG.COG0094.clustalo_raw","-",2.9e-54,181.9,0.1,3.2e-54,181.8,0.1,1,1,0,0,1,1,1,1,"Carboxydothermus hydrogenoformans Z-2901, complete genome","Carboxydothermus hydrogenoformans Z-2901","Carboxydothermus hydrogenoformans","Y","57","Carboxydothermus","hydrogenoformans","GCF_000012865.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"414","NC_007576.1","lcl|NC_007576.1_prot_WP_004270214.1_1682","-","NOG.COG0094.clustalo_raw","-",1.8e-53,178.9,0.1,1.9e-53,178.8,0.1,1,1,0,0,1,1,1,1,"Lactobacillus sakei strain 23K complete genome","Lactobacillus sakei strain 23K","Lactobacillus sakei ","N","14","Lactobacillus","sakei","GCF_000026065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"428","NC_007644.1","lcl|NC_007644.1_prot_YP_431273.1_2385","-","NOG.COG0094.clustalo_raw","-",1.6e-57,192.7,0.2,1.9e-57,192.5,0.2,1,1,0,0,1,1,1,1,"Moorella thermoacetica ATCC 39073 chromosome, complete genome","Moorella thermoacetica ATCC 39073 chromosome","Moorella thermoacetica ","Y","68","Moorella","thermoacetica","GCF_000013105.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"445","NC_007929.1","lcl|NC_007929.1_prot_YP_536310.1_1404","-","NOG.COG0094.clustalo_raw","-",3.1e-54,181.5,0.1,3.5e-54,181.4,0.1,1,1,0,0,1,1,1,1,"Lactobacillus salivarius UCC118 chromosome, complete genome","Lactobacillus salivarius UCC118","Lactobacillus salivarius ","N","17","Lactobacillus","salivarius","GCF_000008925.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"459","NC_008054.1","lcl|NC_008054.1_prot_WP_003620844.1_345","-","NOG.COG0094.clustalo_raw","-",3.5e-53,178,0.1,4e-53,177.8,0.1,1,1,0,0,1,1,1,1,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 complete genome","Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842","Lactobacillus delbrueckii ","N","12","Lactobacillus","delbrueckii","GCF_000056065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"473","NC_008261.1","lcl|NC_008261.1_prot_WP_003454431.1_2563","-","NOG.COG0094.clustalo_raw","-",5.3e-57,191.2,0.4,5.7e-57,191.1,0.4,1,1,0,0,1,1,1,1,"Clostridium perfringens ATCC 13124, complete genome","Clostridium perfringens ATCC 13124","Clostridium perfringens ","Y","61","Clostridium","perfringens","GCF_000013285.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"484","NC_008346.1","lcl|NC_008346.1_prot_WP_011641696.1_2363","-","NOG.COG0094.clustalo_raw","-",3.8e-57,191.5,0.1,4.1e-57,191.4,0.1,1,1,0,0,1,1,1,1,"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete genome","Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","Syntrophomonas wolfei ","Y","61","Syntrophomonas","wolfei","GCF_000014725.1","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae"
"498","NC_008526.1","lcl|NC_008526.1_prot_YP_807669.1_2354","-","NOG.COG0094.clustalo_raw","-",8.9e-52,173.9,0,9.7e-52,173.8,0,1,1,0,0,1,1,1,1,"Lactobacillus paracasei ATCC 334 chromosome, complete genome","Lactobacillus paracasei ATCC 334","Lactobacillus casei ","N","16","Lactobacillus","paracasei","GCF_000014525.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"512","NC_008527.1","lcl|NC_008527.1_prot_WP_003129948.1_2257","-","NOG.COG0094.clustalo_raw","-",1.5e-54,183,0.1,1.7e-54,182.8,0.1,1,1,0,0,1,1,1,1,"Lactococcus lactis subsp. cremoris SK11, complete genome","Lactococcus lactis subsp. cremoris SK11","Lactococcus lactis ","N","14","Lactococcus","lactis","GCF_000014545.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"526","NC_008528.1","lcl|NC_008528.1_prot_WP_002816349.1_582","-","NOG.COG0094.clustalo_raw","-",2.6e-50,168.4,0,2.9e-50,168.3,0,1,1,0,0,1,1,1,1,"Oenococcus oeni PSU-1, complete genome","Oenococcus oeni PSU-1","Oenococcus oeni ","N","18","Oenococcus","oeni","GCF_000014385.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"540","NC_008593.1","lcl|NC_008593.1_prot_WP_011721223.1_236","-","NOG.COG0094.clustalo_raw","-",7.3e-61,203.6,0.7,8e-61,203.5,0.7,1,1,0,0,1,1,1,1,"Clostridium novyi NT, complete genome","Clostridium novyi NT","Clostridium novyi ","Y","61","Clostridium","novyi","GCF_000014125.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"557","NC_009253.1","lcl|NC_009253.1_prot_WP_011876616.1_225","-","NOG.COG0094.clustalo_raw","-",2.3e-54,182.8,0.3,2.9e-54,182.4,0.3,1,1,0,0,1,1,1,1,"Desulfotomaculum reducens MI-1, complete genome","Desulfotomaculum reducens MI-1","Desulfotomaculum reducens ","Y","72","Desulfotomaculum","reducens","GCF_000016165.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"568","NC_009437.1","lcl|NC_009437.1_prot_WP_011917779.1_2284","-","NOG.COG0094.clustalo_raw","-",5.2e-55,184.6,0.1,5.6e-55,184.5,0.1,1,1,0,0,1,1,1,1,"Caldicellulosiruptor saccharolyticus DSM 8903, complete genome","Caldicellulosiruptor saccharolyticus DSM 8903","Caldicellulosiruptor saccharolyticus ","Y","49","Caldicellulosiruptor","saccharolyticus","GCF_000016545.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"582","NC_009617.1","lcl|NC_009617.1_prot_WP_011967520.1_166","-","NOG.COG0094.clustalo_raw","-",5.8e-56,188.6,0.5,6.3e-56,188.5,0.5,1,1,0,0,1,1,1,1,"Clostridium beijerinckii NCIMB 8052, complete genome","Clostridium beijerinckii NCIMB 8052","Clostridium beijerinckii","Y","67","Clostridium","beijerinckii","GCF_000016965.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"597","NC_009633.1","lcl|NC_009633.1_prot_WP_012065429.1_4398","-","NOG.COG0094.clustalo_raw","-",1.6e-51,173.8,0.5,1.8e-51,173.7,0.5,1,1,0,0,1,1,1,1,"Alkaliphilus metalliredigens QYMF, complete genome","Alkaliphilus metalliredigens QYMF","Alkaliphilus metalliredigens ","Y","69","Alkaliphilus","metalliredigens","GCF_000016985.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"611","NC_009697.1","lcl|NC_009697.1_prot_WP_003357534.1_3456","-","NOG.COG0094.clustalo_raw","-",8.6e-57,190.8,0.5,9.4e-57,190.7,0.5,1,1,0,0,1,1,1,1,"Clostridium botulinum A str. ATCC 19397, complete genome","Clostridium botulinum A str. ATCC 19397","Clostridium botulinum A","Y","63","Clostridium","botulinum","GCF_000017025.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"625","NC_009785.1","lcl|NC_009785.1_prot_WP_002894499.1_1910","-","NOG.COG0094.clustalo_raw","-",8.7e-53,176.8,0,9.4e-53,176.7,0,1,1,0,0,1,1,1,1,"Streptococcus gordonii str. Challis substr. CH1, complete genome","Streptococcus gordonii str. Challis substr. CH1","Streptococcus gordonii ","N","14","Streptococcus","gordonii","GCF_000017005.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
